out_type,raw
waveSigHeight,waveSigHeight 2.5-3.5 WITH WSW SWELL POSSIBLY 3.5-4.0 AT TIMES AT FIRST. LATER EASING TO 2.0-2.5
waveMaxHeight,waveMaxHeight 4.0-5.5 WITH WSW SWELL POSSIBLY 5.5-6.5 AT TIMES AT FIRST. LATER EASING TO 3.0-4.0
wavePeriod,"wavePeriod 5-6 WIND WAVE, 9-10 SWELL"
wind10M,wind10M NNE 06-10 BACKING N-NNW 12-16 BY MIDDDAY RISK GUSTS TO 30 IN ANY THUNDERSTORM
wind50M,wind50M NNE 10-14 BACKING N-NNW 15-20 BY MIDDDAY RISK GUSTS TO 35 IN ANY THUNDERSTORM
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 1.0-1.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 1.5-2.5 BY LATE EVENING
wind10M,wind10M NNE-NE 10-14 INCREASING 18-22 BY LATE AFTERNOON WITH GUSTS TO 30 IN SHOWERS
wind50M,wind50M NNE-NE 14-18 INCREASING 22-28 BY LATE AFTERNOON WITH GUSTS TO 35 IN SHOWERS
waveSigHeight,waveSigHeight 2.0-2.5 RISING 2.5-3.0 BY EVENING
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 4.0-5.0 BY EVENING
wind10M,wind10M N-NNE 16-20 DECREASING 10-14 THIS EVENING
wind50M,wind50M N-NNE 20-25 DECREASING 12-18 THIS EVENING
waveSigHeight,"waveSigHeight 1.5-2.0 LOCALLY 2.0-2.5 AT FIRST, FALLING 1.0-1.5 IN THE EVENING"
waveMaxHeight,"waveMaxHeight 2.5-3.0 LOCALLY 3.0-4.0 AT FIRST, FALLING 1.5-2.5 IN THE EVENING"
wavePeriod,"wavePeriod SEA 4-5 FALLING 3-4, SWELL 6-7"
wind10M,wind10M S-SW 8-12 STEADILY INCREASING S'LY 25-30
wind50M,wind50M S-SW 10-15 STEADILY INCREASING S'LY 32-38
waveSigHeight,waveSigHeight AROUND 2.0 WITH SWELL BECOMING 2.5-3.0 LATER
waveMaxHeight,waveMaxHeight AROUND 3.0 WITH SWELL BECOMING 4.0-5.0 LATER
wind10M,"wind10M W-WNW 28-32 GUSTS 42 VEERING NW 20-25 BY MIDDAY, THEN DECREASING AND LATER BACKING W'LY 06-10"
wind50M,"wind50M W-WNW 35-40 GUSTS 50 VEERING NW 25-32 BY MIDDAY, THEN DECREASING AND LATER BACKING W'LY 07-12"
waveSigHeight,waveSigHeight 4.0-5.0 FALLING MAINLY NEAR 4.0
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING MAINLY NEAR 6.5
wind10M,wind10M SSW-S 20-26
wind50M,wind50M SSW-S 26-32
waveSigHeight,waveSigHeight 2.5-3.0 LATER 3.0-3.5
waveMaxHeight,waveMaxHeight 4.0-5.0 LATER 5.0-5.5
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 09-11
wind10M,wind10M SSE 20-24 INCREASING 28-32 BY LATE AFTERNOON
wind50M,wind50M SSE 26-30 INCREASING 35-40 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 2.0-2.5 RISING 4.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 6.5 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 08-09 LATER 10
wind10M,"wind10M SSE 22-28 GUSTS 38 EASING S'LY 16-20 BY EARLY EVENING, VEERING SW 12-16 LATER"
wind50M,"wind50M SSE 27-35 GUSTS 45 EASING S'LY 20-25 BY EARLY EVENING, VEERING SW 15-20 LATER"
waveSigHeight,waveSigHeight 3.0-3.5 GRADUALLY FALLING 2.0-2.5 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 5.0-5.5 GRADUALLY FALLING 3.0-4.0 BY END OF PERIOD
wind10M,wind10M WSW 08-12 GRADUALLY VEERING NNW 06-10 BY LATE EVENING
wind50M,wind50M WSW 12-15 GRADUALLY VEERING NNW 10-14 BY LATE EVENING
waveSigHeight,waveSigHeight 1.0-1.5
waveMaxHeight,waveMaxHeight 1.5-2.5
wavePeriod,wavePeriod 04-08
wind10M,wind10M NNW 26-30 BACKING NW 18-22 BY EARLY AFTERNOON AND WNW 14-18 THIS EVENING
wind50M,wind50M NNW 33-38 BACKING NW 23-28 BY EARLY AFTERNOON AND WNW 18-23 THIS EVENING
waveSigHeight,waveSigHeight 4.5-5.0 FALLING 3.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 7.0-8.0 FALLING 5.0 BY LATE EVENING
wavePeriod,"wavePeriod SEA 7-8 FALLING 4, SWELL 9-10"
wind10M,wind10M NW 10-14 GRADUALLY VEERING NNW'LY
wind50M,wind50M NW 14-18 GRADUALLY VEERING NNW'LY
waveSigHeight,waveSigHeight 0.5-1.0 RISING 1.0-1.5 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 1.0-1.5 RISING 1.5-2.5 BY LATE AFTERNOON
wavePeriod,wavePeriod SEAS: 03-05. SWELL: 11
wind10M,wind10M S-SW 15-20 SLOWLY FALLING TO 8-12
wind50M,wind50M S-SW 20-25 SLOWLY FALLING TO 10-15
waveSigHeight,waveSigHeight 3.0-3.5 WITH WSW SWELL DECREASING TO 2.0-2.5
waveMaxHeight,waveMaxHeight 5.0-5.5 WITH WSW SWELL DECREASING TO 3.0-4.0
wavePeriod,"wavePeriod 4-5 WIND WAVE, 9-11 SWELL"
wind10M,wind10M NNE 18-22 GUSTS 30 VEERING NE 14-18 BY LATE AFTERNOON
wind50M,wind50M NNE 22-28 GUSTS 36 VEERING NE 18-22 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0 BY LATE EVENING
wind10M,wind10M S-SE 28-32 BECOMING SE 30-35 WITH GUSTS TO 45
wind50M,wind50M S-SE 35-40 BECOMING SE 38-44 WITH GUSTS TO 55
waveSigHeight,waveSigHeight AROUND 3.5 INCREASING TO 5.0-6.0
waveMaxHeight,waveMaxHeight AROUND 5.5 INCREASING TO 8.0-9.5
wavePeriod,wavePeriod 6-8 BECOMING 9-11
wind10M,"wind10M W-SW 10-15 FRESHENING 18-22 BY MID AFTERNOON, VEERING W'LY 20-25 LATER"
wind50M,"wind50M W-SW 12-18 FRESHENING 22-28 BY MID AFTERNOON, VEERING W'LY 25-32 LATER"
waveSigHeight,waveSigHeight AROUND 4.0 GRADUALLY FALLING 3.0-3.5
waveMaxHeight,waveMaxHeight AROUND 6.5 GRADUALLY FALLING 5.0-5.5
wind10M,wind10M S'LY 20-24 BACKING ESE-E 10-14 BY LATE AFTERNOON INCREASING 14-18 LATE EVENING
wind50M,wind50M S'LY 26-30 BACKING ESE-E 14-18 BY LATE AFTERNOON INCREASING 18-22 LATE EVENING
waveSigHeight,waveSigHeight 3.0-4.0 FALLING 2.0-2.5 BY EVENING
waveMaxHeight,waveMaxHeight 5.0-6.5 FALLING 3.0-4.0 BY EVENING
wind10M,wind10M SW 14-18 SOON WSW 12-16 THEN BACKING SSW 10-14 BY MID AFTERNOON INCREASING SSE 20-24 BY LATE EVENING
wind50M,wind50M SW 18-22 SOON WSW 15-20 THEN BACKING SSW 14-18 BY MID AFTERNOON INCREASING SSE 26-30 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 FALLING 2.0-2.5 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING 3.0-4.0 BY LATE AFTERNOON
wavePeriod,wavePeriod 06-09
wind10M,wind10M S-SSW 12-16 FRESHENING 22-26 BY MID EVENING
wind50M,wind50M S-SSW 15-20 FRESHENING 27-33 BY MID EVENING
waveSigHeight,waveSigHeight AROUND 2.0 RISING 2.0-2.5 THIS EVENING
waveMaxHeight,waveMaxHeight AROUND 3.0 RISING 3.0-4.0 THIS EVENING
wavePeriod,wavePeriod SEA: 4-6 SWELL: 7-8 SSE BECOMING SSW
wind10M,wind10M NNW 22-26 GUSTS 34 FOR A TIME THEN VEERING N'LY EASING 14-18 BY LATE EVENING
wind50M,wind50M NNW 28-32 GUSTS 40 FOR A TIME THEN VEERING N'LY EASING 18-22 BY LATE EVENING
waveSigHeight,waveSigHeight 2.0-2.5 SOON RISING TO AROUND 3.0
waveMaxHeight,waveMaxHeight 3.0-4.0 SOON RISING TO AROUND 5.0
wind10M,wind10M NNW 18-22 RISING 26-30 GUSTS 40 THIS EVENING
wind50M,wind50M NNW 23-28 RISING 33-38 GUSTS 50 THIS EVENING
waveSigHeight,waveSigHeight 2.5-3.0 RISING 4.0-5.0 THIS EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 RISING 6.5-8.0 THIS EVENING
wavePeriod,"wavePeriod SEA 5 RISING 6-8, SWELL 9-10 BECOMING 11-12 LATER"
wind10M,wind10M N'LY 06-12 GRADUALLY VEERING E'LY
wind50M,wind50M N'LY 07-15 GRADUALLY VEERING E'LY
waveSigHeight,"waveSigHeight AROUND 3.0, NNW SWELL BECOMING WNW"
waveMaxHeight,"waveMaxHeight AROUND 5.0, NNW SWELL BECOMING WNW"
wavePeriod,wavePeriod MAINLY 8-11 SWELL
wind10M,"wind10M N 12-16 BACKING NW BY AFTERNOON, RISING 16-20 IN THE EVENING"
wind50M,"wind50M N 15-20 BACKING NW BY AFTERNOON, RISING 20-25 IN THE EVENING"
waveSigHeight,waveSigHeight 1.0-1.5 RISING AROUND 2.0
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING AROUND 3.0
wavePeriod,"wavePeriod SEA 3-5, SWELL 10"
wind10M,wind10M S-SSW 08-12
wind50M,wind50M S-SSW 12-15
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 1.5 BY EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 2.5 BY EVENING
wind10M,wind10M NNE 12-16 RISING 16-20 THIS EVENING
wind50M,wind50M NNE 15-20 RISING 20-25 THIS EVENING
waveSigHeight,waveSigHeight 1.0-1.5 RISING 1.5-2.0 THIS MORNING IN NNE SWELL
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 2.5-3.0 THIS MORNING IN NNE SWELL
wavePeriod,"wavePeriod SEA 3-4, SWELL 7"
wind10M,wind10M NNE 22-26 DECREASING 18-22 THIS EVENING
wind50M,wind50M NNE 28-33 DECREASING 23-28 THIS EVENING
waveSigHeight,waveSigHeight 3.0-3.5 FALLING 2.5-3.0
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING 4.0-5.0
wind10M,wind10M NNE-NE 12-16 EASING 10-14 BY AFTERNOON
wind50M,wind50M NNE-NE 15-20 EASING 14-18 BY AFTERNOON
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 1.0-1.5 BY EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 1.5-2.5 BY EVENING
wind10M,wind10M SSW 8-12 VEERING WSW LATER THIS EVENING
wind50M,wind50M SSW 10-15 VEERING WSW LATER THIS EVENING
wavePeriod,wavePeriod 3-5
wind10M,wind10M S'LY 15-20 BECOMING 22-28 BY THIS EVENING WITH GUSTS TO 40. LATER VEERING S-SW 18-22
wind50M,wind50M S'LY 20-25 BECOMING 28-35 BY THIS EVENING WITH GUSTS TO 45. LATER VEERING S-SW 22-28
waveSigHeight,waveSigHeight 4.0-4.5 DECREASING TO 3.0
waveMaxHeight,waveMaxHeight 6.5-7.0 DECREASING TO 5.0
wavePeriod,wavePeriod 7-10
wind10M,"wind10M W'LY 18-22 OCCASIONALLY 26 AT FIRST, FROM MIDDAY DECREASING 10-14 BY MIDNIGHT"
wind50M,"wind50M W'LY 22-28 OCCASIONALLY 32 AT FIRST, FROM MIDDAY DECREASING 12-18 BY MIDNIGHT"
waveSigHeight,waveSigHeight 3.0-4.0 FALLING MAINLY AROUND 3.0
waveMaxHeight,waveMaxHeight 5.0-6.5 FALLING MAINLY AROUND 5.0
wind10M,wind10M SSE 16-20 BACKING SE 14-18 BY EVENING
wind50M,wind50M SSE 20-26 BACKING SE 18-22 BY EVENING
wind10M,"wind10M SSW 25-30 GUSTS 35, FROM MIDDAY BACKING/EASING SSE 15-20 MIDNIGHT"
wind50M,"wind50M SSW 32-38 GUSTS 45, FROM MIDDAY BACKING/EASING SSE 18-25 MIDNIGHT"
waveSigHeight,waveSigHeight AROUND 2.5 GRADUALLY FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 4.0 GRADUALLY FALLING 2.5-3.0
wavePeriod,wavePeriod 6-7
wind10M,wind10M N'LY 14-18 VEERING NNE 08-12 BY EVENING
wind50M,wind50M N'LY 18-22 VEERING NNE 12-15 BY EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 1.5-2.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 2.5-3.0 BY LATE EVENING
wind10M,"wind10M N 26-30 GUSTS 40, RISING 30-34 GUSTS 45 FOR A TIME THIS AFTERNOON AND EVENING, LATER VEERING NNE"
wind50M,"wind50M N 33-38 GUSTS 50, RISING 38-43 GUSTS 55 FOR A TIME THIS AFTERNOON AND EVENING, LATER VEERING NNE"
waveSigHeight,waveSigHeight 5.0-6.0 FALLING 4.5-5.0 LATER
waveMaxHeight,waveMaxHeight 8.0-9.5 FALLING 7.0-8.0 LATER
wavePeriod,"wavePeriod 8-10, WITH 11-12 NNW SWELL AT FIRST"
wind10M,wind10M E-SE LESS THAN 08 GRADUALLY VEERING/FRESHENING S'LY 12-16 BY END OF PERIOD
wind50M,wind50M E-SE LESS THAN 10 GRADUALLY VEERING/FRESHENING S'LY 15-20 BY END OF PERIOD
waveSigHeight,waveSigHeight AROUND 2.5 FALLING 1.5-2.0 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight AROUND 4.0 FALLING 2.5-3.0 BY LATE AFTERNOON
wind10M,wind10M NW 14-18 BACKING WNW 18-22 THIS AFTERNOON AND RISING 30-34 GUSTS 42 BY LATE EVENING
wind50M,wind50M NW 18-23 BACKING 23-28 WNW THIS AFTERNOON AND RISING 38-43 GUSTS 52 BY LATE EVENING
waveSigHeight,waveSigHeight 2.0 RISING 4.0-5.0 LATER
waveMaxHeight,waveMaxHeight 3.0 RISING 6.5-8.0 LATER
wavePeriod,wavePeriod 4-6 RISING 6-9
wind10M,wind10M NNE 18-22 DECREASING 10-14 THIS EVENING
wind50M,wind50M NNE 23-28 DECREASING 12-18 THIS EVENING
waveSigHeight,waveSigHeight 3.0 SLOWLY FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight 5.0 SLOWLY FALLING 2.5-3.0
wavePeriod,"wavePeriod SEA 5-6 FALLING 3-4, SWELL 7-8"
wind10M,wind10M NE 12-16 EASING 10-14 FOR A TIME AROUND MIDDAY
wind50M,wind50M NE 15-20 EASING 14-18 FOR A TIME AROUND MIDDAY
waveSigHeight,"waveSigHeight 1.5-2.0 FALLING 1.0-1.5 FOR A TIME,THEN RISING AROUND 1.5 LATE EVENING"
waveMaxHeight,"waveMaxHeight 2.5-3.0 FALLING 1.5-2.5 FOR A TIME,THEN RISING AROUND 2.5 LATE EVENING"
wavePeriod,wavePeriod 04-07
windconf,windconf LOW - UNCERTAINTY ABOUT THE DEPTH OF THE LOW
wind10M,wind10M S-SE 28-32 SOON BACKING SE. EASING LATER E'LY 18-22
wind50M,wind50M S-SE 35-40 SOON BACKING SE. EASING LATER E'LY 22-28
waveconf,waveconf LOW - AS ABOVE
waveSigHeight,waveSigHeight MAINLY 3.5-4.0 EASING LATER TO 2.5-3.0
waveMaxHeight,waveMaxHeight MAINLY 5.5-6.5 EASING LATER TO 4.0-5.0
wind10M,wind10M WNW SOON NW 12-16
wind50M,wind50M WNW SOON NW 15-20
waveSigHeight,waveSigHeight AROUND 3.5 FALLING 3.0 BY MID AFTERNOON
waveMaxHeight,waveMaxHeight AROUND 5.5 FALLING 5.0 BY MID AFTERNOON
wind10M,wind10M S'LY 40-45 GUSTS 55 EASING SSW 22-26 BY MID AFTERNOON THEN INCREASING 26-30 GUSTS 40 BY EVENING
wind50M,wind50M S'LY 50-55 GUSTS 65 EASING SSW 28-32 BY MID AFTERNOON THEN INCREASING 32-38 GUSTS 48 BY EVENING
waveSigHeight,"waveSigHeight 5.0-6.0 SOON 6.0-7.0 FOR A TIME,LATER 4.0-4.5"
waveMaxHeight,"waveMaxHeight 8.0-10.0 SOON 10.0-11.0 FOR A TIME,LATER 6.5-7.0"
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 13
wind10M,wind10M SE 12-18 BECOMING 15-20
wind50M,wind50M SE 15-22 BECOMING 20-25
waveSigHeight,waveSigHeight AROUND 1.5 INCREASING TO 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 2.5 INCREASING TO 2.5-3.0
wind10M,wind10M SSE 22-28 INCREASING SSE 26-32 FOR A TIME MID PERIOD
wind50M,wind50M SSE 27-35 INCREASING SSE 32-40 FOR A TIME MID PERIOD
waveSigHeight,waveSigHeight AROUND 2.5 RISING 3.0-3.5
waveMaxHeight,waveMaxHeight AROUND 4.0 RISING 5.0-5.5
wavePeriod,wavePeriod SEA: 5-7 SWELL: SSE 8 RISING 10
wind10M,wind10M NNE 06-10 VEERING NE 14-18 BY LATE AFTERNOON
wind50M,wind50M NNE 10-14 VEERING NE 18-22 BY LATE AFTERNOON
waveSigHeight,waveSigHeight AROUND 2.0 FALLING 1.5-2.0 BY AFTERNOON
waveMaxHeight,waveMaxHeight AROUND 3.0 FALLING 2.5-3.0 BY AFTERNOON
wind10M,wind10M NNW 34-38 GUSTS 50 VEERING N BY MIDDAY THEN DECREASING 20-24 LATER THIS EVENING
wind50M,wind50M NNW 43-48 GUSTS 60 VEERING N BY MIDDAY THEN DECREASING 25-30 LATER THIS EVENING
waveSigHeight,waveSigHeight 5.0-6.0 RISING 6.0-7.0 FOR A TIME THEN FALLING 5.0-5.5 LATER IN THE EVENING
waveMaxHeight,waveMaxHeight 8.0-9.5 RISING 9.5-11.0 FOR A TIME THEN FALLING 8.0-9.0 LATER IN THE EVENING
wind10M,wind10M SSE 08-12 EASING 04-08 BY EVENING
wind50M,wind50M SSE 12-15 EASING 08-12 BY EVENING
waveSigHeight,waveSigHeight AROUND 1.5 SLOWLY FALLING AROUND 1.0 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 2.5 SLOWLY FALLING AROUND 1.5 BY EVENING
wind10M,wind10M WNW 12-16 BACKING W'LY 06-10 BY EVENING
wind50M,wind50M WNW 15-20 BACKING W'LY 10-14 BY EVENING
waveSigHeight,waveSigHeight 1.0-1.5 FALLING 1.0 BY EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 FALLING 1.5 BY EVENING
wind10M,wind10M NNE 26-30
wind50M,wind50M NNE 33-38
waveSigHeight,waveSigHeight 4.0-4.5
waveMaxHeight,waveMaxHeight 6.5-7.0
wind10M,wind10M NNE 14-18 BACKING N'LY 18-22 GUSTS 32 BY EVENING
wind50M,wind50M NNE 18-22 BACKING N'LY 22-28 GUSTS 36 BY EVENING
waveSigHeight,waveSigHeight 1.5-2.0 RISING AROUND 2.0 BY EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING AROUND 3.0 BY EVENING
windconf,windconf LOW DUE TO UNCERTAIN POSITION OF LOW
wind10M,wind10M SE-ESE 16-20
wind50M,wind50M SE-ESE 20-26
waveSigHeight,waveSigHeight 2.5-3.0 FALLING SLOWLY 2.0-2.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING SLOWLY 3.0-4.0 BY LATE EVENING
wind10M,wind10M WNW 04-08 BACKING SW 16-20 BY EVENING
wind50M,wind50M WNW 08-12 BACKING SW 20-26 BY EVENING
waveSigHeight,waveSigHeight 2.0-2.5
wind10M,wind10M SSW 22-26 GUSTS 38 EASING 18-22 THIS EVENING
wind50M,wind50M SSW 28-33 GUSTS 46 EASING 23-28 THIS EVENING
waveSigHeight,"waveSigHeight 4.0-5.0 OCCASIONALLY 5.0-5.5 AT FIRST, FALLING 3.5-4.0 LATER"
waveMaxHeight,"waveMaxHeight 6.5-8.0 OCCASIONALLY 8.0-9.0 AT FIRST, FALLING 5.5-6.5 LATER"
wavePeriod,"wavePeriod SEA 5-6, SWELL 10 RISING 12"
wind10M,wind10M MAINLY SE'LY 12-18
wind50M,wind50M MAINLY SE'LY 15-22
waveSigHeight,waveSigHeight MAINLY 1.5-2.0
waveMaxHeight,waveMaxHeight MAINLY 2.5-3.0
wind10M,wind10M S-SE 10-15 INCREASING 15-20 BY EVENING AND 25-30 LATER
wind50M,wind50M S-SE 12-18 INCREASING 18-25 BY EVENING AND 30-38 LATER
waveSigHeight,waveSigHeight AROUND 3.5 RISING 4.0-4.5
waveMaxHeight,waveMaxHeight AROUND 5.5 RISING 6.5-7.5
wind10M,wind10M SW 28-32 GUSTS 42 EASING 20-25 BY END OF PERIOD
wind50M,wind50M SW 35-40 GUSTS 50 EASING 25-32 BY END OF PERIOD
waveSigHeight,waveSigHeight 5.0-6.0 FALLING 3.5-4.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 8.0-10.0 FALLING 5.5-6.5 BY END OF PERIOD
wavePeriod,wavePeriod SEA: 6-8 FALLING 5-7 SWELL: 10-13 WSW
wind10M,wind10M SSE 26-30 EASING 20-24 BY LATE AFTERNOON THEN INCREASING 28-32 GUSTS 40 LATE EVENING
wind50M,wind50M SSE 32-38 EASING 26-30 BY LATE AFTERNOON THEN INCREASING 35-40 GUSTS 48 LATE EVENING
waveSigHeight,waveSigHeight 3.5-4.0 RISING AROUND 4.0 IN THE EVENING
waveMaxHeight,waveMaxHeight 5.5-6.5 RISING AROUND 6.5 IN THE EVENING
windconf,windconf LOW - DUE TO TRACK OF LOW ACROSS THE AREA
wind10M,wind10M NW 12-18 RISING N-NW 15-20 FOR A TIME. LATER W 12-18
wind50M,wind50M NW 15-22 RISING N-NW 20-25 FOR A TIME. LATER W 15-22
waveSigHeight,waveSigHeight 5.0-6.0 DECREAING TO 3.0-4.0
waveMaxHeight,waveMaxHeight 8.0-9.5 DECREAING TO 5.0-6.5
wavePeriod,"wavePeriod 4-5 WIND WAVE, 8-10 SWELL"
wind10M,wind10M ESE 06-10 VEERING SSE 18-22 BY LATE EVENING
wind50M,wind50M ESE 10-14 VEERING SSE 22-28 BY LATE EVENING
waveSigHeight,waveSigHeight 1.5-2.0 LATER RISING AROUND 2.0
waveMaxHeight,waveMaxHeight 2.5-3.0 LATER RISING AROUND 3.0
wind10M,"wind10M SSE 38-44 INCREASING 40-48 GUSTS 58 SOON, DECREASING 32-38 THIS AFTERNOON, VEERING S'LY 22-28 THIS EVENING"
wind50M,"wind50M SSE 44-54 INCREASING 50-58 GUSTS 68 SOON, DECREASING 40-45 THIS AFTERNOON, VEERING S'LY 27-35 THIS EVENING"
waveSigHeight,"waveSigHeight 5.0-5.5 RISING 6.0-8.0 BY MIDDAY, THEN FALLING 4.5-5.0 BY END OF PERIOD"
waveMaxHeight,"waveMaxHeight 8.0-9.0 RISING 10.0-13.0 BY MIDDAY, THEN FALLING 7.0-8.0 BY END OF PERIOD"
wavePeriod,wavePeriod 9-13
wind10M,wind10M SW 16-20 GRADUALLY BACKING SE-ESE 04-08
wind50M,wind50M SW 20-26 GRADUALLY BACKING SE-ESE 08-12
waveSigHeight,waveSigHeight 3.0-3.5 RISK 3.5-4.0
waveMaxHeight,waveMaxHeight 5.0-5.5 RISK 5.5-6.5
wind10M,"wind10M NW 20-25 GUSTS 35 BACKING SSW 10-15 BY MIDDAY, THEN INCREASING 24-28 BY EVENING, VEERING WSW 28-32 GUSTS 42 LATER"
wind50M,"wind50M NW 25-32 GUSTS 42 BACKING SSW 12-18 BY MIDDAY, THEN INCREASING 30-35 BY EVENING, VEERING WSW 35-40 GUSTS 50 LATER"
waveSigHeight,"waveSigHeight 3.5-4.0 FALLING 2.5-3.0 BY MID AFTERNOON, THEN RISING 3.0-3.5 BY MIDNIGHT"
waveMaxHeight,"waveMaxHeight 5.5-6.5 FALLING 4.0-5.0 BY MID AFTERNOON, THEN RISING 5.0-5.5 BY MIDNIGHT"
wavePeriod,wavePeriod SEA: 5-7 FALLING 3-4 FOR A TIME SWELL: 8-10
wind10M,wind10M SSE 04-08 GRADUALLY INCREASING 16-20 BY EVENING
wind50M,wind50M SSE 08-12 GRADUALLY INCREASING 20-26 BY EVENING
waveSigHeight,waveSigHeight 1.0-1.5 RISING AROUND 1.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING AROUND 2.5 BY LATE EVENING
wind10M,"wind10M SE  8-12 SOON EASING  8 OR LESS, BACKING NE-N, INCREASING 12-18 LATER"
wind50M,"wind50M SE 10-15 SOON EASING 10 OR LESS, BACKING NE-N, INCREASING 15-22 LATER"
wind10M,wind10M NW 14-18 BACKING W-SW 06-10 BY MIDDAY THEN SSE 22-26 AHEAD OF THE FRONT MID EVENING BEFORE VEERING SSW 16-20 BY LATE EVENING
wind50M,wind50M NW 18-22 BACKING W-SW 10-14 BY MIDDAY THEN SSE 28-32 AHEAD OF THE FRONT MID EVENING BEFORE VEERING SSW 20-26 BY LATE EVENING
waveSigHeight,waveSigHeight 1.5-2.0 FALLING 1.0-1.5 BY MIDDAY THEN RISING 2.0-2.5 IN THE EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING 1.5-2.5 BY MIDDAY THEN RISING 3.0-4.0 IN THE EVENING
wind10M,"wind10M NE 10-15 BACKING NW LESS THAN 08 BY MID AFTERNOON, THEN SW 08-12 LATER"
wind50M,"wind50M NE 12-18 BACKING NW LESS THAN 10 BY MID AFTERNOON, THEN SW 10-15 LATER"
waveSigHeight,waveSigHeight AROUND 2.0 FALLING NEAR 1.5 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 3.0 FALLING NEAR 2.5 BY EVENING
wavePeriod,wavePeriod SEA: 2-4 SWELL: 6-8
wind10M,wind10M SSE 32-38 INCREASING SSE-S 38-42 GUSTS 55 BY EVENING
wind50M,wind50M SSE 40-45 INCREASING SSE-S 48-52 GUSTS 65 BY EVENING
waveSigHeight,waveSigHeight AROUND 5.0 RISING NEAR 8.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 8.0 RISING NEAR 12.0 BY LATE EVENING
wind10M,"wind10M WNW 20-24 RISING 34-38 GUSTS 50 BY MIDDAY THEN VEERING NW BY MID AFTERNOON, VEERING NNW LATE EVENING"
wind50M,"wind50M WNW 25-30 RISING 43-48 GUSTS 60 BY MIDDAY THEN VEERING NW BY MID AFTERNOON, VEERING NNW LATE EVENING"
waveSigHeight,waveSigHeight 4.0-5.0 RISING 6.0-7.0 THIS EVENING
waveMaxHeight,waveMaxHeight 6.5-8.0 RISING 9.5-11.0 THIS EVENING
wind10M,wind10M S'LY 02-06 INCREASING 16-20 BY EVENING
wind50M,wind50M S'LY 04-08 INCREASING 20-26 BY EVENING
waveSigHeight,waveSigHeight AROUND 1.0 RISING 1.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 1.5 RISING 2.5 BY LATE EVENING
wind10M,wind10M NNW 16-22 GUSTS 30 EASING N'LY 12-16 BY EVENING
wind50M,wind50M NNW 20-28 GUSTS 36 EASING N'LY 15-20 BY EVENING
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.0-2.5 BY MID AFTERNOON
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 3.0-4.0 BY MID AFTERNOON
wind10M,wind10M NW-NNW 10-14 FALLING VARIABLE 02-06 BY EVENING
wind50M,wind50M NW-NNW 14-18 FALLING VARIABLE 04-08 BY EVENING
wind10M,wind10M E-ESE 12-16 INCREASING 18-22 BY EVENING
